MEALS :,FOODS,beverage,PREFERENCE LIST,DIET TAG,AVOID FOR,Other who can have it ,Allergy 
DINNER,Dal with 1Ã¢â‚¬â€œ2 roti,Warm Water,Jain/Vegetarian,Light meal,None,All,Gluten
DINNER,Stir fried vegetables with tofu,Herbal Tea,Jain/Vegetarian,Low fat High protein,None,All,Soy
DINNER,Chicken soup,Warm Water,Non-Vegetarian,Light meal,None,All,None
DINNER,Clear vegetable soup,Herbal Tea,Jain/Vegetarian,Light meal Gut friendly,None,All,None
DINNER,Paneer bhurji lettuce wrap,Warm Water,Vegetarian,High protein Low carb,None,All,Dairy
DINNER,Whole wheat veggie wrap,Warm Water,Jain/Vegetarian,Balanced meal,None,All,Gluten
DINNER,Chicken wrap (grilled),Warm Water,Non-Vegetarian,High protein,None,All,Gluten
DINNER,Vegetable taco (whole wheat base),Warm Water,Jain/Vegetarian,Balanced meal,None,All,Gluten
DINNER,Paneer taco,Warm Water,Vegetarian,High protein,None,All,Dairy
DINNER,Quinoa vegetable bowl,Warm Water,Jain/Vegetarian,Low calorie Balanced,None,All,None
DINNER,Fish grilled with veggies,Warm Water,Non-Vegetarian,Omega 3 rich,None,All,Fish
DINNER,Moong dal soup,Warm Water,Jain/Vegetarian,Light meal,None,All,None
DINNER,Sprouts chaat,Warm Water,Jain/Vegetarian,High protein Light,None,All,None
,,,,,,,
SNACKS,Roasted chana,Milkshake / Smoothie,Jain/Vegetarian,High protein Low calorie,None,All,None
SNACKS,"Mixed nuts (almonds, walnuts)",Smoothie / Fresh Juice,Jain/Vegetarian,Healthy fats,None,All,Nuts
SNACKS,Fruit bowl,Protein Shake / Milkshake,Jain/Vegetarian,Vitamin rich Light,None,All,None
SNACKS,Sprouts chaat,Smoothie,Jain/Vegetarian,High protein Fiber,None,All,None
SNACKS,Boiled corn,Fresh Juice,Jain/Vegetarian,Light snack,None,All,None
SNACKS,Peanut chaat,Green Tea / Smoothie,Jain/Vegetarian,High protein,None,All,Peanut
SNACKS,Protein smoothie,Protein Shake,Jain/Vegetarian,High protein,None,All,Dairy
SNACKS,Buttermilk,Buttermilk / Smoothie,Vegetarian,Gut friendly,Lactose Intolerance,"Diabetes, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, High Cholesterol, Acidity, GERD",Dairy
SNACKS,Coconut water,Coconut Water / Fresh Juice,Jain/Vegetarian,Hydrating,None,All,None
SNACKS,Roasted makhana,Green Tea,Jain/Vegetarian,Low calorie,None,All,None
SNACKS,Vegetable sticks with hummus,Mint Water / Smoothie,Jain/Vegetarian,High fiber,None,All,Sesame
SNACKS,Paneer cubes grilled,Milkshake,Vegetarian,High protein,None,All,Dairy
SNACKS,Boiled eggs,None,Eggetarian,High protein,High Cholesterol,"Diabetes, Obesity, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, Acidity, GERD, Lactose Intolerance",Egg
SNACKS,Dark chocolate (small portion),Green Tea / Fresh Juice,Jain/Vegetarian,Low sugar,Diabetes,"Obesity, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, High Cholesterol, Acidity, GERD, Lactose Intolerance",None
SNACKS,Yogurt with seeds,Milk / Smoothie,Vegetarian,Healthy fats,None,All,Dairy
SNACKS,Apple slices,Green Tea,Vegetarian,High fiber Low sugar,None,All,None
SNACKS,Banana slices,None,Vegetarian,Energy boosting High potassium,Diabetes,"Obesity, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, High Cholesterol, Acidity, GERD, Lactose Intolerance",None
SNACKS,Papaya bowl,None,Vegetarian,Digestion friendly Vitamin rich,None,All,None
SNACKS,Watermelon cubes,None,Vegetarian,Hydrating Low calorie,Diabetes,"Obesity, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, High Cholesterol, Acidity, GERD, Lactose Intolerance",None
SNACKS,Orange segments,None,Vegetarian,Vitamin C rich,Acidity GERD,"Diabetes, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, High Cholesterol, Lactose Intolerance",None
SNACKS,Pomegranate seeds,None,Vegetarian,Iron rich Antioxidant,None,All,None
SNACKS,Guava slices,None,Vegetarian,High fiber Low glycemic,None,All,None
SNACKS,Mixed fruit bowl,None,Vegetarian,Vitamin rich Balanced,Diabetes,All,None
SNACKS,Mango slices,None,Vegetarian,Energy boosting Vitamin rich,Diabetes Obesity,"Obesity, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, High Cholesterol, Acidity, GERD, Lactose Intolerance",None
SNACKS,Pineapple chunks,None,Vegetarian,Vitamin C Digestive,Acidity GERD,"Diabetes, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, High Cholesterol, Lactose Intolerance",Nuts
SNACKS,Fruit salad with seeds,None,Vegetarian,High fiber Healthy fats,None,All,Nuts
SNACKS,Dry fruits mix (dates raisins),None,Vegetarian,Energy dense Iron rich,Diabetes,"Obesity, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, High Cholesterol, Acidity, GERD, Lactose Intolerance",None
SNACKS,Dates (khajoor),None,Vegetarian,Energy boosting Iron rich,Diabetes,"Obesity, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, High Cholesterol, Acidity, GERD, Lactose Intolerance",Dairy
SNACKS,Fruit yogurt,Protein Shake / Milkshake,Vegetarian,Probiotic Calcium rich,Lactose Intolerance Diabetes,"Diabetes, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, High Cholesterol, Acidity, GERD",Dairy
SNACKS,Fruit smoothie (no sugar),Milk / Smoothie,Vegetarian,Hydrating Vitamin rich,Diabetes,"Obesity, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, High Cholesterol, Acidity, GERD, Lactose Intolerance",
,,,,,,,
DETOX DRINK,Lemon water with honey,None ,Jain/Vegetarian,Detox Hydrating,Diabetes,"Obesity, PCOS, PCOD, Thyroid, Hypertension, Heart Disease, High Cholesterol, Acidity, GERD, Lactose Intolerance",None
DETOX DRINK,Jeera water,None ,Jain/Vegetarian,Detox Digestive,None,All,None
DETOX DRINK,Cucumber mint water,None ,Jain/Vegetarian,Hydrating Refreshing,None,All,None
DETOX DRINK,Apple cider vinegar water,None ,Jain/Vegetarian,Detox,None,All,None
DETOX DRINK,Green tea,None ,Jain/Vegetarian,Antioxidant,None,All,None
DETOX DRINK,Ginger lemon tea,None ,Jain/Vegetarian,Digestive support,None,All,None
DETOX DRINK,Tulsi tea,None ,Jain/Vegetarian,Immunity boosting,None,All,None
DETOX DRINK,Cinnamon water,None ,Jain/Vegetarian,Metabolism boosting,None,All,None
DETOX DRINK,Fennel (saunf) water,None ,Jain/Vegetarian,Digestive support,None,All,None
DETOX DRINK,Amla juice,None ,Jain/Vegetarian,Vitamin rich,None,All,None
